team,player_name,conc_player_name,position,games_played,games_started,minutes_played,goals,accurate_pass_percentage,assists,assists_avg_over_90_mins,total_scoring_attempts,on_target_scoring_attempts,total_attacking_assists,tackles,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,goals_avg_over_90_mins,penalty_kick_goals,penalty_kick_taken,penalty_kick_percentage,accurate_shooting_percentage,successful_dribble,dribble_percentage,goals_and_assists,accurate_passes,total_passes,accurate_pass_percentage,crosses,accurate_long_balls,successful_short_passes,turnovers,tackles_percentage,interceptions,headed_duel,saves,penalty_kicks_conceded,long_ball_percentage,total_clearance
Orlando Pride,Kerry Abello,KERRYABELLO,DEFENDER,20,14,1256,1,79,0,0,22,12,0,25,20,10,1,1,0,0.07,0,0,0,55,23,58,1,326,413,79,4,14,308,200,64,7,19,,,,
Chicago Red Stars,Jillienne Cole Aguilera,JILLIENNE COLEAGUILERA,MIDFIELDER,11,1,176,0,62,0,0,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,47,76,62,1,1,45,46,0,2,2,,,,
San Diego Wave FC,Amirah Ali,AMIRAHALI,FORWARD,17,5,467,2,66,0,0,13,6,0,8,3,15,3,1,0,0.39,0,0,0,46,11,44,2,79,120,66,1,1,77,102,67,2,17,,,,
Orlando Pride,Amanda Allen,AMANDAALLEN,FORWARD,3,,9,0,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,50,0,0,1,3,0,0,0,,,,
Houston Dash,Michelle Alozie,MICHELLEALOZIE,FORWARD,17,13,1013,4,67,1,0.09,23,9,1,8,15,14,3,1,1,0.36,0,0,0,39,17,42,5,140,210,67,3,7,130,210,73,6,32,,,,
Houston Dash,Emily Alvarado,EMILYALVARADO,GOALKEEPER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay FC,Joelle Anderson,JOELLEANDERSON,MIDFIELDER,18,13,1083,1,69,0,0,16,8,0,23,15,4,3,4,0,0.08,0,0,0,50,14,54,1,258,374,69,6,23,229,206,85,9,19,,,,
Angel City FC,Angelina Anderson,ANGELINAANDERSON,GOALKEEPER,5,5,450,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,209,82,0,35,136,38,0,1,1,21,0,49,5
Houston Dash, Andressa,ANDRESSA,MIDFIELDER,5,4,309,1,75,0,0,9,3,0,5,5,7,0,0,0,0.29,0,0,0,33,2,40,1,61,81,75,0,2,59,44,56,1,10,,,,
Orlando Pride, Angelina,ANGELINA,MIDFIELDER,4,,33,0,82,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,17,82,0,0,14,8,33,0,1,,,,
