state_abb,state_name,population_2022,avg_household_income_2022,median_household_income_2022,area_sq_mile,state_capital,gdp_2022,unemployment_2022_pct,top_industry_1,top_industry_2,top_industry_3,statehood_yr
AL,Alabama,5073903.00,78639.09,59609.00,50647.13,Montgomery,277817000000.00,2.60,Manufacturing,Real estate,Professional and business services,1819
AK,Alaska,733276.00,105162.63,86370.00,571022.38,Juneau,63618000000.00,4.00,"Mining, quarrying, and oil and gas extraction",Transportation and warehousing,Real estate,1959
AZ,Arizona,7365684.00,100890.13,72581.00,113653.42,Phoenix,458950000000.00,3.80,Real estate,Professional and business services,"Education, health care, and social services",1912
AR,Arkansas,3046404.00,77114.15,56335.00,51992.85,Little Rock,165221000000.00,3.30,Manufacturing,Professional and business services,Real estate,1836
CA,California,39240000.00,84376.00,85300.00,155812000.00,Sacramento,2890000000000.00,4.10,Tourism,Agriculture,Entertainment,1850
CO,Colorado,5812000.00,117508.00,87598.00,103601000.00,Denver,385830000000.00,3.30,Agriculture,Mining,Manufacturing,1876
CT,Connecticut,3606000.00,130601.00,90213.00,5018000.00,Hartford,276670000000.00,4.00,Finance and Insurance,Real Estate,Manufacturing,1788
DE,Delaware,1019459.00,80750.00,79325.00,1982.00,Dover,65000000000.00,4.50,Finance and Insurance,Manufactoring,Fishing,1787
FL,Florida,22240000.00,74580.00,65370.00,65757.00,Tallahassee,1389069700000.00,2.70,Tourism and Hospitality,Real Estate,Aviation & Aerospace,1845
GA,Georgia,10913150.00,71355.00,67730.00,57919.00,Atlanta,591260000000.00,3.00,Aerospace,Agriculture,Automotive,1788
HI,Hawaii,1439399.00,122902.00,94814.00,10931.00,Honolulu,98218800000.00,3.70,Tourism,Agriculture,construction industries,1959
ID,Idaho,1938996.00,72580.00,70214.00,82751.00,Boise,84000000000.00,2.70,Energy,Manufacturing,Agriculture,1890
IL,Illinois,12810000.00,90861.00,72205.00,57918.00,Chicago,797970000000.00,4.70,Agriculture,Manufacturing,Services,1818
IN,Indiana,6790000.00,62743.00,79243.00,36418.00,Indianapolis,352960000000.00,2.20,Manufacturing ,Agriculture,Transportation,1816
IA,Iowa,3190000.00,65600.00,76320.00,56273.00,Des Moines,177090000000.00,2.70,Agriculture,Manufacturing,Renewable Energies,1846
KS,Kansas,2937150.00,94263.00,73040.00,82278.00,Topeka,164940000000.00,2.70,"Corn, Wheat, & Soybean",Aircraft Part Sales,Farm Equipment Sales,1861
KY,Kentucky,4511563.00,83093.00,55573.00,39480.90,Frankfurt,201380000000.00,3.90,Manufacturing,Agriculture,Coal,1792
LA,Louisiana,4588023.00,83169.00,52087.00,43210.23,Baton Rouge,217160000000.00,3.70,Chemical,Petroleum ,Coal,1812
