dteday,temp,windspeed,casual_riders,registered_riders
1/1/11,0.344167,0.160446,331,654
1/2/11,0.363478,0.248539,131,670
1/3/11,0.196364,0.248309,120,1229
1/4/11,0.2,0.160296,108,1454
1/5/11,0.226957,0.1869,82,1518
1/6/11,0.204348,0.0895652,88,1518
1/7/11,0.196522,0.168726,148,1362
1/8/11,0.165,0.266804,68,891
1/9/11,0.138333,0.36195,54,768
1/10/11,0.150833,0.223267,41,1280
1/11/11,0.169091,0.122132,43,1220
1/12/11,0.172727,0.304627,25,1137
1/13/11,0.165,0.301,38,1368
1/14/11,0.16087,0.126548,54,1367
1/15/11,0.233333,0.157963,222,1026
1/16/11,0.231667,0.188433,251,953
1/17/11,0.175833,0.194017,117,883
1/18/11,0.216667,0.146775,9,674
1/19/11,0.292174,0.208317,78,1572
1/20/11,0.261667,0.195904,83,1844
1/21/11,0.1775,0.353242,75,1468
1/22/11,0.0591304,0.17197,93,888
1/23/11,0.0965217,0.2466,150,836
1/24/11,0.0973913,0.15833,86,1330
1/25/11,0.223478,0.129796,186,1799
1/26/11,0.2175,0.29385,34,472
1/27/11,0.195,0.113837,15,416
1/28/11,0.203478,0.1233,38,1129
1/29/11,0.196522,0.145365,123,975
1/30/11,0.216522,0.0739826,140,956
1/31/11,0.180833,0.187192,42,1459
2/1/11,0.192174,0.053213,47,1313
2/2/11,0.26,0.264308,72,1454
2/3/11,0.186957,0.277752,61,1489
2/4/11,0.211304,0.127839,88,1620
2/5/11,0.233333,0.161079,100,905
2/6/11,0.285833,0.1418,354,1269
2/7/11,0.271667,0.0454083,120,1592
2/8/11,0.220833,0.36195,64,1466
2/9/11,0.134783,0.188839,53,1552
2/10/11,0.144348,0.221935,47,1491
2/11/11,0.189091,0.10855,149,1597
2/12/11,0.2225,0.203367,288,1184
2/13/11,0.316522,0.260883,397,1192
2/14/11,0.415,0.417908,208,1705
2/15/11,0.266087,0.291374,140,1675
2/16/11,0.318261,0.251791,218,1897
2/17/11,0.435833,0.230104,259,2216
2/18/11,0.521667,0.264925,579,2348
2/19/11,0.399167,0.507463,532,1103
2/20/11,0.285217,0.223235,639,1173
2/21/11,0.303333,0.307846,195,912
2/22/11,0.182222,0.195683,74,1376
2/23/11,0.221739,0.094113,139,1778
2/24/11,0.295652,0.250496,100,1707
2/25/11,0.364348,0.346539,120,1341
2/26/11,0.2825,0.186571,424,1545
2/27/11,0.343478,0.125248,694,1708
2/28/11,0.407273,0.289686,81,1365
3/1/11,0.266667,0.216425,137,1714
3/2/11,0.335,0.307833,231,1903
3/3/11,0.198333,0.225754,123,1562
3/4/11,0.261667,0.203346,214,1730
3/5/11,0.384167,0.251871,640,1437
3/6/11,0.376522,0.343287,114,491
3/7/11,0.261739,0.341352,244,1628
3/8/11,0.2925,0.12065,316,1817
3/9/11,0.295833,0.22015,191,1700
3/10/11,0.389091,0.261877,46,577
3/11/11,0.316522,0.23297,247,1730
3/12/11,0.329167,0.220775,724,1408
3/13/11,0.384348,0.270604,982,1435
3/14/11,0.325217,0.136926,359,1687
3/15/11,0.317391,0.184309,289,1767
3/16/11,0.365217,0.203117,321,1871
3/17/11,0.415,0.209579,424,2320
3/18/11,0.54,0.231017,884,2355
3/19/11,0.4725,0.368167,1424,1693
3/20/11,0.3325,0.207721,1047,1424
3/21/11,0.430435,0.288783,401,1676
3/22/11,0.441667,0.22575,460,2243
3/23/11,0.346957,0.234261,203,1918
3/24/11,0.285,0.243787,166,1699
3/25/11,0.264167,0.230725,300,1910
3/26/11,0.265833,0.209571,981,1515
3/27/11,0.253043,0.1843,472,1221
3/28/11,0.264348,0.212204,222,1806
3/29/11,0.3025,0.226996,317,2108
3/30/11,0.3,0.172888,168,1368
3/31/11,0.268333,0.217646,179,1506
4/1/11,0.3,0.258708,307,1920
4/2/11,0.315,0.197146,898,1354
4/3/11,0.378333,0.182213,1651,1598
4/4/11,0.573333,0.385571,734,2381
4/5/11,0.414167,0.388067,167,1628
4/6/11,0.390833,0.263063,413,2395
4/7/11,0.4375,0.162312,571,2570
4/8/11,0.335833,0.226992,172,1299
4/9/11,0.3425,0.133083,879,1576
4/10/11,0.426667,0.146767,1188,1707
4/11/11,0.595652,0.324474,855,2493
4/12/11,0.5025,0.274879,257,1777
4/13/11,0.4125,0.250617,209,1953
4/14/11,0.4675,0.1107,529,2738
4/15/11,0.446667,0.226375,642,2484
4/16/11,0.430833,0.340808,121,674
4/17/11,0.456667,0.303496,1558,2186
4/18/11,0.5125,0.163567,669,2760
4/19/11,0.505833,0.157971,409,2795
4/20/11,0.595,0.241925,613,3331
4/21/11,0.459167,0.325258,745,3444
4/22/11,0.336667,0.219521,177,1506
4/23/11,0.46,0.230725,1462,2574
4/24/11,0.581667,0.192175,1710,2481
4/25/11,0.606667,0.185333,773,3300
4/26/11,0.631667,0.3265,678,3722
4/27/11,0.62,0.3122,547,3325
4/28/11,0.6175,0.320908,569,3489
4/29/11,0.51,0.240063,878,3717
4/30/11,0.4725,0.235075,1965,3347
5/1/11,0.451667,0.106354,1138,2213
5/2/11,0.549167,0.183454,847,3554
5/3/11,0.616667,0.342667,603,3848
5/4/11,0.414167,0.328996,255,2378
5/5/11,0.459167,0.295392,614,3819
5/6/11,0.479167,0.228246,894,3714
5/7/11,0.52,0.16045,1612,3102
5/8/11,0.528333,0.0746375,1401,2932
5/9/11,0.5325,0.176,664,3698
5/10/11,0.5325,0.115671,694,4109
