Entity,Code,Year,Under-five mortality rate,GDP per capita,Population,World region
Afghanistan,AFG,2022,5.767968,1357.9878,40578846,Asia
Albania,ALB,2022,0.94380224,12978.101,2827615,Europe
Algeria,DZA,2022,2.175275,13506.444,45477391,Africa
Angola,AGO,2022,6.687379,6118.905,35635028,Africa
Argentina,ARG,2022,0.9435239,18292.318,45407904,South America
Armenia,ARM,2022,1.0282857,13837.577,2880883,Asia
Australia,AUS,2022,0.3755792,52049.43,26200987,Oceania
Austria,AUT,2022,0.32030913,43792.855,9064679,Europe
Azerbaijan,AZE,2022,1.8067888,17682.94,10295307,Asia
Bahrain,BHR,2022,0.65186924,38651.6,1533459,Asia
Bangladesh,BGD,2022,2.8775158,4925.721,169384890,Asia
Barbados,BRB,2022,1.0871348,11545.848,282324,North America
Belarus,BLR,2022,0.2574219,18699.799,9173241,Europe
Belgium,BEL,2022,0.3694741,41872.395,11641813,Europe
Benin,BEN,2022,8.077564,2477.0903,13759507,Africa
Bolivia,BOL,2022,2.3910956,6481.3906,12077155,South America
Bosnia and Herzegovina,BIH,2022,0.6031446,12142.863,3204805,Europe
Botswana,BWA,2022,3.8734994,16351.91,2439895,Africa
Brazil,BRA,2022,1.4024924,14640.076,210306411,South America
Bulgaria,BGR,2022,0.6098508,20592.455,6825863,Europe
Burkina Faso,BFA,2022,7.8781404,1704.966,22509037,Africa
Burundi,BDI,2022,5.0493116,717.22845,13321101,Africa
Cambodia,KHM,2022,2.3696556,3944.2468,17201717,Asia
Cameroon,CMR,2022,6.983415,2812.2148,27632771,Africa
Canada,CAN,2022,0.49409682,45529.645,38821260,North America
Cape Verde,CPV,2022,1.2286837,7202.767,519750,Africa
Central African Republic,CAF,2022,9.678187,596.393,5098038,Africa
Chad,TCD,2022,10.285629,1393.5635,18455319,Africa
Chile,CHL,2022,0.6290339,22740.72,19553032,South America
China,CHN,2022,0.6596203,19238.18,1425179562,Asia
Colombia,COL,2022,1.2372154,14468.964,51737944,South America
Comoros,COM,2022,4.816785,1900.3983,834192,Africa
Congo,COG,2022,4.1645374,4187.507,6035107,Africa
Costa Rica,CRI,2022,0.7748415,15496.82,5081765,North America
Cote d'Ivoire,CIV,2022,6.9373627,4011.7122,30395003,Africa
Croatia,HRV,2022,0.4597639,26986.752,3907031,Europe
Cuba,CUB,2022,0.7959378,7648.704,11059821,North America
Cyprus,CYP,2022,0.35018614,31523.498,1331376,Europe
Czechia,CZE,2022,0.26316932,32247.395,10673216,Europe
Democratic Republic of Congo,COD,2022,7.5550003,844.172,102396974,Africa
Denmark,DNK,2022,0.3518612,50689.68,5902898,Europe
Djibouti,DJI,2022,5.1886787,3623.0603,1137100,Africa
Dominica,DMA,2022,3.2200692,8879.6455,66850,North America
Dominican Republic,DOM,2022,3.2388363,17713.52,11230734,North America
Ecuador,ECU,2022,1.2151439,10124.076,17823900,South America
Egypt,EGY,2022,1.8074611,13205.406,112618251,Africa
El Salvador,SLV,2022,1.1873419,9218.905,6280316,North America
Equatorial Guinea,GNQ,2022,7.342167,22707.22,1803550,Africa
Estonia,EST,2022,0.1880606,30067.395,1350092,Europe
Eswatini,SWZ,2022,5.003594,8522.45,1218921,Africa
Ethiopia,ETH,2022,4.622225,2289.409,125384285,Africa
Finland,FIN,2022,0.23119636,40701.465,5569299,Europe
France,FRA,2022,0.40685278,39065.71,66277412,Europe
Gabon,GAB,2022,3.8819916,15720.901,2430752,Africa
Gambia,GMB,2022,4.55886,2010.5322,2636473,Africa
Georgia,GEO,2022,0.9330166,14360.359,3794783,Asia
