Age,CurrentGender,BirthGender,MaritalStatus,RaceEthnicity,HouseholdIncome,Political,FoMOpreMean,FoMOHighorLow,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Imagination,ReligionFundamentalMean,condition,AwarenessComposite,JudgementComposite,PersonalRecallComposite,SocialRecallComposite,PersonalInferenceComposite,SocialInferenceComposite
41,2,2,1,6,6,4,4.6,1,5.0,5.0,4.25,3.5,5.0,3.92,0,4.02,32.29,4.0,4.5,4.5,4.5
36,1,1,2,2,6,2,4.4,1,4.25,5.0,5.0,3.5,5.0,5.25,0,5.31,-70.07,2.5,6.142857143,2.071428571,5.714285714
24,2,2,2,2,2,3,4.4,1,1.25,4.0,3.25,4.75,4.5,1.42,0,6.74,-90.07,1.0,3.714285714,1.071428571,3.642857143
30,1,1,2,1,4,2,4.3,1,4.0,4.25,4.5,3.25,4.0,5.08,0,5.1,86.64,6.0,6.214285714,6.214285714,6.071428571
22,2,2,2,6,7,4,4.3,1,1.0,4.75,3.0,4.75,3.5,6.67,1,6.5,-86.57,1.0,1.285714286,1.071428571,1.428571429
20,2,2,2,6,1,4,4.1,1,2.5,3.5,3.0,3.0,3.75,5.5,0,5.57,-81.5,1.428571429,6.785714286,1.428571429,6.642857143
35,1,1,1,1,6,1,3.9,1,4.0,2.75,2.5,3.0,2.0,3.83,0,3.79,-49.86,4.428571429,5.285714286,2.285714286,2.714285714
32,2,2,1,6,6,6,3.8,1,3.5,5.0,5.0,2.75,3.25,2.33,1,7.0,-65.71,1.357142857,3.785714286,1.5,3.928571429
42,2,2,1,6,6,4,3.8,1,3.5,3.75,3.5,3.25,4.0,2.83,1,3.98,-26.29,4.5,3.928571429,3.714285714,3.785714286
28,1,1,2,1,3,1,3.7,1,4.25,5.0,4.75,3.0,4.75,2.33,1,4.14,-60.36,1.5,1.428571429,1.857142857,1.785714286
41,1,1,2,1,3,3,3.7,1,4.0,3.25,3.75,3.5,4.5,8.5,1,4.69,-42.5,3.142857143,6.071428571,3.0,5.214285714
23,1,1,2,4,2,7,3.6,1,1.75,3.75,3.25,1.75,3.75,5.75,0,4.17,22.5,4.5,4.642857143,4.357142857,4.571428571
27,2,2,2,6,3,1,3.5,1,3.5,4.25,3.25,3.0,3.75,5.67,0,4.1,-51.79,2.357142857,2.714285714,2.285714286,1.857142857
35,1,1,1,6,6,1,3.4,1,3.0,5.0,4.75,2.5,4.0,8.25,0,5.9,-64.14,1.428571429,1.428571429,1.357142857,1.357142857
45,1,1,1,6,6,2,3.4,1,3.5,3.0,2.75,3.5,5.0,2.5,1,4.55,51.21,4.785714286,5.142857143,4.714285714,4.071428571
36,1,1,1,6,5,6,3.4,1,4.25,4.0,4.25,2.0,4.75,5.0,1,4.74,-48.93,2.357142857,4.142857143,3.357142857,3.785714286
24,2,2,4,2,3,6,3.4,1,4.0,5.0,3.75,2.25,5.0,6.67,1,3.45,-60.43,2.0,1.857142857,1.928571429,1.642857143
28,1,1,2,6,7,2,3.3,1,1.5,1.0,3.25,4.75,1.5,4.67,0,4.55,-36.36,1.285714286,4.0,2.142857143,4.0
19,2,2,2,2,2,1,3.3,1,2.0,2.0,3.0,4.25,4.25,4.25,1,6.02,-38.5,3.5,5.928571429,1.928571429,5.857142857
74,1,1,1,6,6,2,3.2,1,2.0,4.0,3.5,3.5,3.25,9.0,1,5.64,-12.21,3.357142857,3.5,2.071428571,3.857142857
30,2,2,1,2,3,2,3.2,1,2.75,3.25,2.75,3.0,3.0,4.25,1,3.6,32.43,2.928571429,2.714285714,3.142857143,2.071428571
28,1,1,2,1,3,6,3.1,1,4.0,4.5,5.0,3.0,2.75,5.25,0,6.43,-52.57,3.071428571,3.642857143,2.642857143,3.285714286
22,1,1,4,2,5,4,3.1,1,3.5,3.25,3.25,2.5,2.75,5.17,0,4.98,-65.0,1.357142857,1.428571429,1.428571429,2.071428571
61,2,2,5,6,3,4,3.1,1,3.0,5.0,3.25,2.5,4.5,7.58,1,6.52,-68.64,2.642857143,4.428571429,2.857142857,4.928571429
36,1,1,2,7,7,4,3.0,1,3.25,2.5,2.5,3.5,3.5,1.17,0,4.57,-56.79,1.214285714,1.214285714,1.428571429,1.428571429
38,2,2,1,2,5,2,3.0,1,2.0,3.5,3.25,4.25,3.5,7.17,0,5.98,-47.5,2.928571429,6.214285714,2.642857143,6.285714286
24,1,1,4,6,4,2,3.0,1,2.5,3.0,3.75,2.0,3.0,7.5,0,4.88,-34.21,3.0,5.714285714,3.142857143,5.285714286
53,1,1,1,1,3,1,3.0,1,3.0,3.25,3.0,2.5,3.75,4.42,1,3.95,-0.86,3.214285714,3.5,3.785714286,3.928571429
33,1,1,1,6,6,4,3.0,1,2.75,4.0,2.75,2.25,3.5,2.67,1,4.0,-25.14,3.428571429,4.214285714,3.857142857,4.142857143
47,1,1,1,2,5,4,3.0,1,3.0,4.0,3.0,3.0,4.25,4.67,1,5.43,-42.71,3.714285714,3.928571429,3.071428571,3.642857143
48,1,1,2,1,6,7,3.0,1,2.75,3.0,3.0,3.0,2.0,5.08,1,4.33,32.86,5.571428571,5.357142857,5.071428571,4.928571429
40,3,1,2,2,2,3,3.0,1,2.5,3.0,3.0,3.25,2.0,3.67,1,3.14,69.57,1.214285714,2.428571429,1.5,2.214285714
22,1,1,2,1,2,1,3.0,1,2.25,3.0,3.0,3.0,2.0,8.58,1,3.33,47.93,1.214285714,2.071428571,1.0,2.071428571
49,1,1,1,6,6,4,2.9,1,3.5,3.5,3.5,3.0,3.5,1.08,0,5.14,75.86,6.0,6.0,6.0,6.214285714
38,2,2,3,2,1,4,2.9,1,1.25,2.25,3.75,3.0,2.75,4.92,0,4.07,-38.5,1.785714286,1.642857143,1.785714286,1.785714286
19,2,2,2,1,4,4,2.9,1,2.75,3.5,4.5,4.5,3.5,6.08,0,3.14,23.93,2.357142857,3.285714286,2.714285714,3.642857143
28,2,2,2,6,5,5,2.9,1,2.5,3.75,3.25,3.25,3.75,4.75,0,4.05,-52.71,1.428571429,3.214285714,1.428571429,3.785714286
26,1,1,4,6,5,4,2.9,1,3.75,3.75,3.5,2.25,3.25,6.25,0,3.69,6.29,4.0,3.142857143,3.857142857,3.214285714
22,2,2,2,2,2,6,2.9,1,2.0,2.75,3.5,2.5,2.25,5.0,0,4.1,-3.57,3.357142857,2.428571429,3.142857143,2.857142857
