,director_name,duration,director_facebook_likes,actor_1_facebook_likes,gross,actor_1_name,movie_title,facenumber_in_poster,plot_keywords,language,content_rating,budget,title_year,imdb_score,movie_facebook_likes,genre
0,James Cameron,178.0,0.0,1000.0,760505847.0,CCH Pounder,Avatar,0.0,avatar|future|marine|native|paraplegic,English,PG-13,237000000.0,2009.0,7.9,33000,Action
1,Gore Verbinski,169.0,563.0,40000.0,309404152.0,Johnny Depp,Pirates of the Caribbean: At World's End,0.0,goddess|marriage ceremony|marriage proposal|pirate|singapore,English,PG-13,300000000.0,2007.0,7.1,0,Action
2,Sam Mendes,148.0,0.0,11000.0,200074175.0,Christoph Waltz,Spectre,1.0,bomb|espionage|sequel|spy|terrorist,English,PG-13,245000000.0,2015.0,6.8,85000,Action
3,Christopher Nolan,164.0,22000.0,27000.0,448130642.0,Tom Hardy,The Dark Knight Rises,0.0,deception|imprisonment|lawlessness|police officer|terrorist plot,English,PG-13,250000000.0,2012.0,8.5,164000,Action
4,Doug Walker,,131.0,131.0,,Doug Walker,Star Wars: Episode VII - The Force Awakens,0.0,,,,,,7.1,0,Documentary
5,Andrew Stanton,132.0,475.0,640.0,73058679.0,Daryl Sabara,John Carter,1.0,alien|american civil war|male nipple|mars|princess,English,PG-13,263700000.0,2012.0,6.6,24000,Action
6,Sam Raimi,156.0,0.0,24000.0,336530303.0,J.K. Simmons,Spider-Man 3,0.0,sandman|spider man|symbiote|venom|villain,English,PG-13,258000000.0,2007.0,6.2,0,Action
7,Nathan Greno,100.0,15.0,799.0,200807262.0,Brad Garrett,Tangled,1.0,17th century|based on fairy tale|disney|flower|tower,English,PG,260000000.0,2010.0,7.8,29000,Adventure
8,Joss Whedon,141.0,0.0,26000.0,458991599.0,Chris Hemsworth,Avengers: Age of Ultron,4.0,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,English,PG-13,250000000.0,2015.0,7.5,118000,Action
9,David Yates,153.0,282.0,25000.0,301956980.0,Alan Rickman,Harry Potter and the Half-Blood Prince,3.0,blood|book|love|potion|professor,English,PG,250000000.0,2009.0,7.5,10000,Adventure
10,Zack Snyder,183.0,0.0,15000.0,330249062.0,Henry Cavill,Batman v Superman: Dawn of Justice,0.0,based on comic book|batman|sequel to a reboot|superhero|superman,English,PG-13,250000000.0,2016.0,6.9,197000,Action
11,Bryan Singer,169.0,0.0,18000.0,200069408.0,Kevin Spacey,Superman Returns,0.0,crystal|epic|lex luthor|lois lane|return to earth,English,PG-13,209000000.0,2006.0,6.1,0,Action
12,Marc Forster,106.0,395.0,451.0,168368427.0,Giancarlo Giannini,Quantum of Solace,1.0,action hero|attempted rape|bond girl|official james bond series|revenge,English,PG-13,200000000.0,2008.0,6.7,0,Action
13,Gore Verbinski,151.0,563.0,40000.0,423032628.0,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest,2.0,box office hit|giant squid|heart|liar's dice|monster,English,PG-13,225000000.0,2006.0,7.3,5000,Action
14,Gore Verbinski,150.0,563.0,40000.0,89289910.0,Johnny Depp,The Lone Ranger,1.0,horse|outlaw|texas|texas ranger|train,English,PG-13,215000000.0,2013.0,6.5,48000,Action
15,Zack Snyder,143.0,0.0,15000.0,291021565.0,Henry Cavill,Man of Steel,0.0,based on comic book|british actor playing american character|final battle|origin of hero|reboot,English,PG-13,225000000.0,2013.0,7.2,118000,Action
16,Andrew Adamson,150.0,80.0,22000.0,141614023.0,Peter Dinklage,The Chronicles of Narnia: Prince Caspian,4.0,brother brother relationship|brother sister relationship|good versus evil|king|narnia,English,PG,225000000.0,2008.0,6.6,0,Action
17,Joss Whedon,173.0,0.0,26000.0,623279547.0,Chris Hemsworth,The Avengers,3.0,alien invasion|assassin|battle|iron man|soldier,English,PG-13,220000000.0,2012.0,8.1,123000,Action
18,Rob Marshall,136.0,252.0,40000.0,241063875.0,Johnny Depp,Pirates of the Caribbean: On Stranger Tides,4.0,blackbeard|captain|pirate|revenge|soldier,English,PG-13,250000000.0,2011.0,6.7,58000,Action
19,Barry Sonnenfeld,106.0,188.0,10000.0,179020854.0,Will Smith,Men in Black 3,1.0,alien|criminal|m.i.b.|maximum security prison|prison,English,PG-13,225000000.0,2012.0,6.8,40000,Action
20,Peter Jackson,164.0,0.0,5000.0,255108370.0,Aidan Turner,The Hobbit: The Battle of the Five Armies,0.0,army|elf|hobbit|middle earth|orc,English,PG-13,250000000.0,2014.0,7.5,65000,Adventure
21,Marc Webb,153.0,464.0,15000.0,262030663.0,Emma Stone,The Amazing Spider-Man,0.0,lizard|outcast|spider|spider man|teenager,English,PG-13,230000000.0,2012.0,7.0,56000,Action
22,Ridley Scott,156.0,0.0,891.0,105219735.0,Mark Addy,Robin Hood,0.0,1190s|archer|england|king of england|robin hood,English,PG-13,200000000.0,2010.0,6.7,17000,Action
23,Peter Jackson,186.0,0.0,5000.0,258355354.0,Aidan Turner,The Hobbit: The Desolation of Smaug,6.0,dwarf|elf|lake town|mountain|sword and sorcery,English,PG-13,225000000.0,2013.0,7.9,83000,Adventure
24,Chris Weitz,113.0,129.0,16000.0,70083519.0,Christopher Lee,The Golden Compass,2.0,children|epic|friend|girl|quest,English,PG-13,180000000.0,2007.0,6.1,0,Adventure
25,Peter Jackson,201.0,0.0,6000.0,218051260.0,Naomi Watts,King Kong,0.0,animal name in title|ape abducts a woman|gorilla|island|king kong,English,PG-13,207000000.0,2005.0,7.2,0,Action
26,James Cameron,194.0,0.0,29000.0,658672302.0,Leonardo DiCaprio,Titanic,0.0,artist|love|ship|titanic|wet,English,PG-13,200000000.0,1997.0,7.7,26000,Drama
27,Anthony Russo,147.0,94.0,21000.0,407197282.0,Robert Downey Jr.,Captain America: Civil War,0.0,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,English,PG-13,250000000.0,2016.0,8.2,72000,Action
28,Peter Berg,131.0,532.0,14000.0,65173160.0,Liam Neeson,Battleship,0.0,box office flop|hawaii|naval|oahu hawaii|ship,English,PG-13,209000000.0,2012.0,5.9,44000,Action
29,Colin Trevorrow,124.0,365.0,3000.0,652177271.0,Bryce Dallas Howard,Jurassic World,0.0,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,English,PG-13,150000000.0,2015.0,7.0,150000,Action
30,Sam Mendes,143.0,0.0,883.0,304360277.0,Albert Finney,Skyfall,0.0,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,English,PG-13,200000000.0,2012.0,7.8,80000,Action
31,Sam Raimi,135.0,0.0,24000.0,373377893.0,J.K. Simmons,Spider-Man 2,1.0,death|doctor|scientist|super villain|tentacle,English,PG-13,200000000.0,2004.0,7.3,0,Action
32,Shane Black,195.0,1000.0,21000.0,408992272.0,Robert Downey Jr.,Iron Man 3,3.0,armor|explosion|human bomb|missile attack|terrorist,English,PG-13,200000000.0,2013.0,7.2,95000,Action
33,Tim Burton,108.0,13000.0,40000.0,334185206.0,Johnny Depp,Alice in Wonderland,0.0,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,English,PG,200000000.0,2010.0,6.5,24000,Adventure
34,Brett Ratner,104.0,420.0,20000.0,234360014.0,Hugh Jackman,X-Men: The Last Stand,0.0,battle|mutant|outrage|walking through a wall|x men,English,PG-13,210000000.0,2006.0,6.8,0,Action
35,Dan Scanlon,104.0,37.0,12000.0,268488329.0,Steve Buscemi,Monsters University,0.0,cheating|fraternity|monster|singing in a car|university,English,G,200000000.0,2013.0,7.3,44000,Adventure
36,Michael Bay,150.0,0.0,894.0,402076689.0,Glenn Morshower,Transformers: Revenge of the Fallen,0.0,autobot|decepticon|machine|sun|symbol,English,PG-13,200000000.0,2009.0,6.0,0,Action
37,Michael Bay,165.0,0.0,974.0,245428137.0,Bingbing Li,Transformers: Age of Extinction,2.0,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,English,PG-13,210000000.0,2014.0,5.7,56000,Action
38,Sam Raimi,130.0,0.0,44000.0,234903076.0,Tim Holmes,Oz the Great and Powerful,4.0,circus|magic|magician|oz|witch,English,PG,215000000.0,2013.0,6.4,60000,Adventure
39,Marc Webb,142.0,464.0,15000.0,202853933.0,Emma Stone,The Amazing Spider-Man 2,0.0,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,English,PG-13,200000000.0,2014.0,6.7,41000,Action
40,Joseph Kosinski,125.0,364.0,12000.0,172051787.0,Jeff Bridges,TRON: Legacy,0.0,arcade|bridge|disappearance|escape|warrior,English,PG,170000000.0,2010.0,6.8,30000,Action
41,John Lasseter,106.0,487.0,1000.0,191450875.0,Joe Mantegna,Cars 2,0.0,best friend|car race|conspiracy|gadget car|spy,English,G,200000000.0,2011.0,6.3,10000,Adventure
42,Martin Campbell,123.0,258.0,16000.0,116593191.0,Ryan Reynolds,Green Lantern,2.0,autopsy|lantern|planet|ring|test pilot,English,PG-13,200000000.0,2011.0,5.6,24000,Action
43,Lee Unkrich,103.0,125.0,15000.0,414984497.0,Tom Hanks,Toy Story 3,3.0,college|day care|escape|teddy bear|toy,English,G,200000000.0,2010.0,8.3,30000,Adventure
44,McG,118.0,368.0,23000.0,125320003.0,Christian Bale,Terminator Salvation,0.0,death row|future|machine|rescue|skynet,English,PG-13,200000000.0,2009.0,6.6,0,Action
45,James Wan,140.0,0.0,26000.0,350034110.0,Jason Statham,Furious 7,0.0,car falling off a cliff|hospital|revenge|star died before release|terrorist,English,PG-13,190000000.0,2015.0,7.2,94000,Action
46,Marc Forster,123.0,395.0,17000.0,202351611.0,Peter Capaldi,World War Z,0.0,chaos|disease|infection|pandemic|zombie,English,PG-13,190000000.0,2013.0,7.0,129000,Action
47,Bryan Singer,149.0,0.0,34000.0,233914986.0,Jennifer Lawrence,X-Men: Days of Future Past,7.0,dystopia|super strength|supernatural power|time paradox|time travel,English,PG-13,200000000.0,2014.0,8.0,82000,Action
48,J.J. Abrams,132.0,14000.0,19000.0,228756232.0,Benedict Cumberbatch,Star Trek Into Darkness,0.0,admiral|captain|manhunt|mission|space,English,PG-13,190000000.0,2013.0,7.8,92000,Action
49,Bryan Singer,114.0,0.0,979.0,65171860.0,Eddie Marsan,Jack the Giant Slayer,1.0,bean|giant|king|no opening credits|princess,English,PG-13,195000000.0,2013.0,6.3,22000,Adventure
50,Baz Luhrmann,143.0,1000.0,29000.0,144812796.0,Leonardo DiCaprio,The Great Gatsby,4.0,ingratitude|mansion|party|title appears in writing|tragedy,English,PG-13,105000000.0,2013.0,7.3,115000,Drama
51,Mike Newell,116.0,179.0,15000.0,90755643.0,Jake Gyllenhaal,Prince of Persia: The Sands of Time,2.0,alamut|dagger|king|persia|princess,English,PG-13,200000000.0,2010.0,6.6,23000,Action
52,Guillermo del Toro,131.0,0.0,16000.0,101785482.0,Charlie Hunnam,Pacific Rim,0.0,giant monster|kaiju|pilot|portal|robot,English,PG-13,190000000.0,2013.0,7.0,83000,Action
53,Michael Bay,154.0,0.0,894.0,352358779.0,Glenn Morshower,Transformers: Dark of the Moon,2.0,autobot|decepticon|job interview|moon|spacecraft,English,PG-13,195000000.0,2011.0,6.3,46000,Action
